name,site,zone,island,volts,X,Y,long,lat
Albany,ALB,UNI,NI,33.0,1750929,5932699,174.690466,-36.739446
Albury,ABY,LSI,SI,11.0,1424397,5097843,170.800433,-44.251476
Arapuni,ARI,CNI,NI,110.0,1831847,5782925,175.643058,-38.071752
Aratiatia,ARA,CNI,NI,220.0,1873657,5721161,176.143036,-38.615882
Argyle,ARG,USI,SI,110.0,1616837,5386748,173.202263,-41.670851
Arthurs Pass,APS,USI,SI,11.0,1483256,5243850,171.568898,-42.949046
Ashburton,ASB,USI,SI,66.0,1503871,5133909,171.802173,-43.941664
Ashley,ASY,USI,SI,11.0,1569375,5209968,172.622662,-43.262475
Atiamuri,ATI,CNI,NI,220.0,1863993,5746266,176.022721,-38.392877
Aviemore,AVI,LSI,SI,220.0,1390245,5051586,170.354335,-44.658443
Balclutha,BAL,LSI,SI,33.0,1350994,4875583,169.770868,-46.227704
Bells Pond,BPD,LSI,SI,110.0,1438716,5027527,170.957644,-44.887417
Benmore AC,BEN,LSI,SI,220.0,1377232,5061385,170.194639,-44.566415
Berwick,BWK,LSI,SI,110.0,1375380,4908481,170.10221,-45.940489
Black Point,BPT,LSI,SI,110.0,1426227,5027119,170.799467,-44.888151
Blenheim,BLN,USI,SI,33.0,1677835,5405479,173.932545,-41.498532
Bombay,BOB,UNI,NI,110.0,1777554,5882318,175.00037,-37.188721
Bream Bay,BRB,UNI,NI,33.0,1733637,6031785,174.479885,-35.849032
Bromley,BRY,USI,SI,66.0,1575608,5180029,172.698124,-43.532284
Brunswick,BRK,LNI,NI,33.0,1775381,5584691,175.05064,-39.869711
Brydone,BDE,LSI,SI,11.0,1279333,4872602,168.841744,-46.224475
Bunnythorpe,BPE,LNI,NI,33.0,1824482,5537672,175.64055,-40.281325
Cambridge,CBG,CNI,NI,11.0,1818482,5805622,175.483933,-37.870705
Carrington Street,CST,LNI,NI,33.0,1694035,5673654,174.087188,-39.081164
Castle Hill,CLH,USI,SI,11.0,1496824,5214719,171.729771,-43.213264
Central Park,CPK,LNI,NI,11.0,1748149,5426363,174.769577,-41.300595
Clyde,CYD,LSI,SI,33.0,1309791,4990371,169.306238,-45.180382
Coleridge,COL,USI,SI,11.0,1480646,5197734,171.526974,-43.363773
Cromwell,CML,LSI,SI,33.0,1300103,5003434,169.191025,-45.059002
Culverden,CUL,USI,SI,33.0,1589859,5270393,172.876146,-42.718897
Dannevirke,DVK,LNI,NI,11.0,1858006,5546736,176.030757,-40.190112
Dobson,DOB,USI,SI,33.0,1460288,5298504,171.300929,-42.453209
Edendale,EDN,LSI,SI,33.0,1274964,4862682,168.778402,-46.31144
Edgecumbe,EDG,CNI,NI,33.0,1936284,5788677,176.828871,-37.987259
Fernhill,FHL,CNI,NI,33.0,1923083,5609948,176.762545,-39.599298
Frankton,FKN,LSI,SI,33.0,1264313,5007062,168.740072,-45.010386
Glenbrook,GLN,UNI,NI,33.0,1753635,5881167,174.73125,-37.203334
Gore,GOR,LSI,SI,33.0,1284097,4885035,168.911652,-46.115091
Gracefield,GFD,LNI,NI,33.0,1760647,5432797,174.917087,-41.24028
Greymouth,GYM,USI,SI,66.0,1453179,5298172,171.21443,-42.454884
Greytown,GYT,LNI,NI,33.0,1804621,5445253,175.437284,-41.11825
Halfway Bush,HWB,LSI,SI,33.0,1404021,4918942,170.475582,-45.855196
Hamilton,HAM,CNI,NI,11.0,1802987,5816159,175.304951,-37.779395
Hangatiki,HTI,CNI,NI,33.0,1790574,5764029,175.177951,-38.251571
Harapaki,HRP,CNI,NI,220.0,1918008,5653847,176.682706,-39.20646
Hawera,HWA,LNI,NI,33.0,1712536,5619536,174.310105,-39.566497
Haywards AC,HAY,LNI,NI,11.0,1766258,5442603,174.981344,-41.150867
Henderson,HEN,UNI,NI,33.0,1744226,5921548,174.617529,-36.840972
Hepburn Road,HEP,UNI,NI,33.0,1747934,5916486,174.660086,-36.886012
Hinuera,HIN,CNI,NI,33.0,1843078,5799495,175.765346,-37.919635
Hobson Street,HOB,UNI,NI,110.0,1757117,5920840,174.762192,-36.845297
Hokitika (Westpower),HKK,USI,SI,66.0,1434864,5267776,170.983012,-42.724768
Hororata,HOR,USI,SI,33.0,1517688,5178084,171.98108,-43.545655
Huirangi,HUI,LNI,NI,33.0,1707053,5677676,174.237032,-39.043429
Huntly,HLY,CNI,NI,33.0,1790106,5842852,175.151829,-37.541741
Invercargill,INV,LSI,SI,33.0,1245783,4851991,168.392518,-46.392743
Islington,ISL,USI,SI,33.0,1560548,5179498,172.511707,-43.536421
Junction Road,JRD,LNI,NI,110.0,1695407,5669689,174.103607,-39.116742
Kaiapoi,KAI,USI,SI,11.0,1570680,5196745,172.638034,-43.381592
Kaikohe,KOE,UNI,NI,110.0,1673612,6082717,173.81061,-35.396198
Kaitemako,KMO,CNI,NI,33.0,1879255,5818364,176.169088,-37.739443
Kaiwharawhara,KWA,LNI,NI,11.0,1750000,5430943,174.790548,-41.259017
