line,bus0,bus1,capacity_MVA,max_flow_MW,loading_pct,length_km
N-L133,MPE,KOE,600.0,600.0,100.0,54.5950672272588
N-L111,ARI,KPO,600.0,600.0,100.0,18.842375559488
N-L122,BOB,WIR,600.0,600.0,100.0,24.5729869367741
N-L85,SFD,JRD,600.0,600.0,100.0,30.0
N-L101,TRK,ROT,600.0,600.0,100.0,10.1608690527649
N-L66,MST,MGM,600.0,600.0,100.0,52.4913951062749
N-L38,WKM,MTI,1000.0,1000.0,100.0,8.85037188209003
N-L47,PAK,PEN,1000.0,1000.0,100.0,8.36174805620878
N-L64,UHT,GYT,600.0,600.0,100.0,28.8134881203869
N-L22,THI,WKM,1000.0,1000.0,100.0,30.5109290049641
N-L99,LFD,KIN,600.0,600.0,100.0,16.1101816872175
N-L132,MTO,MPE,600.0,600.0,100.0,38.1546808942969
N-L71,BPE,MTN,600.0,600.0,100.0,30.9133345230392
N-L90,MKE,SFD,600.0,600.0,100.0,27.2434822473258
N-L94,NPK,TMN,600.0,594.007013349291,99.0011688915485,30.534572738875
N-L68,MGM,WDV,600.0,591.5457185951941,98.59095309919901,24.1197683270249
N-L65,GYT,MST,600.0,586.291954060382,97.71532567673033,21.427315821579
N-L26,ATI,WKM,1000.0,975.0222820677811,97.50222820677811,19.5947488941592
N-L104,TMI,KMO,600.0,577.396263667202,96.23271061120033,17.277413487974
N-L131,WEL,MTO,600.0,574.6143925077018,95.7690654179503,26.0154379400541
N-L98,ARI,LFD,600.0,572.4333617642999,95.40556029404999,17.3504000481219
N-L102,TRK,OWH,600.0,568.5963048532343,94.76605080887238,15.6216728391434
N-L75,WPW,FHL,600.0,563.8930718789577,93.98217864649295,44.5972419239363
N-L82,HWA,SFD,600.0,549.7085058871916,91.61808431453193,25.8509223767939
N-L27,WKM,PAK,2000.0,1813.0845337806313,90.65422668903157,223.0
N-L25,OHK,ATI,1000.0,904.6422403916349,90.46422403916348,5.76201766151515
N-L95,TMN,ONG,600.0,535.3326937772041,89.22211562953402,20.3157199790288
N-L130,WEL,HEN,600.0,532.3566434504005,88.72610724173342,62.5593994810789
N-L88,HUI,MNI,600.0,519.193528762699,86.53225479378315,7.06160903057638
