line,bus0,bus1,capacity_MVA,max_flow_MW,loading_pct,length_km
N-L47,PAK,PEN,1000.0,1000.0,100.0,8.36174805620878
N-L22,THI,WKM,1000.0,965.6334125605385,96.56334125605386,30.5109290049641
N-L27,WKM,PAK,2000.0,1862.8336667281462,93.14168333640731,223.0
N-L82,HWA,SFD,600.0,529.3169220977816,88.21948701629692,25.8509223767939
S-L2,NMA,INV,1000.0,843.0226188293284,84.30226188293284,10.0327049693854
N-L20,WRK,THI,1000.0,827.8834125605385,82.78834125605385,5.48494563258555
S-L1,MAN,NMA,1000.0,801.9198,80.19198,120.899391533664
N-L60,HAY,UHT,600.0,447.39706099163186,74.56617683193865,10.9561764518734
S-L68,TKB,NWD,1000.0,736.3721900753859,73.63721900753859,170.000100001007
N-L44,OTA,PAK,1000.0,731.0830918004119,73.10830918004119,5.05410431543607
S-L69,NWD,ISL,1000.0,726.7455998597359,72.67455998597359,25.00000000001
N-L124,OTA,MNG,600.0,433.37957879895254,72.22992979982543,3.22838590588632
N-L64,UHT,GYT,600.0,431.24791321075406,71.87465220179234,28.8134881203869
N-L65,GYT,MST,600.0,423.0212645847529,70.50354409745881,21.427315821579
N-L28,SFD,TMN,1000.0,680.3691922857984,68.03691922857983,99.9400447116017
N-L66,MST,MGM,600.0,399.19038897169065,66.53173149528178,52.4913951062749
N-L68,MGM,WDV,600.0,394.54440395628706,65.75740065938118,24.1197683270249
S-L30,OHC,BEN,1000.0,643.4725580313896,64.34725580313896,24.7144849643233
N-L122,BOB,WIR,600.0,385.9186595886305,64.31977659810508,24.5729869367741
S-L39,ISL,SBK,300.0,184.3350094059689,61.44500313532296,24.2915255289392
N-L57,TKR,HAY,600.0,360.7556283179298,60.1259380529883,9.27010964216003
S-L3,INV,TWI,1000.0,598.4283648552064,59.842836485520635,21.9249107102529
N-L61,HAY,PRM,1000.0,546.6508063112997,54.66508063112997,25.1078760062729
N-L17,TKU,WKM,1000.0,535.8065653804401,53.58065653804401,62.6172933890702
N-L128,ROS,HEP,600.0,320.68260876549465,53.44710146091578,6.598760457343
N-L121,HLY,BOB,600.0,312.734441844232,52.12240697403866,41.4691687713726
N-L125,MNG,ROS,600.0,309.784085219162,51.630680869860335,10.5657519923792
N-L29,TMN,TWH,1000.0,502.205045723304,50.220504572330405,128.851898273214
N-L48,PEN,HOB,1000.0,494.6961075539125,49.46961075539125,7.91946208546861
N-L12,WRK,TAB,1000.0,493.2759916251712,49.32759916251712,6.15559453370958
N-L123,WIR,OTA,600.0,294.1288854272728,49.02148090454547,4.16992021424707
S-L33,OHA,TWZ,1000.0,485.20364232270873,48.52036423227087,5.83384010644619
N-L69,WDV,BPE,600.0,290.94339687914805,48.49056614652468,18.6868208775837
S-L16,CML,CYD,1000.0,483.1529879108262,48.31529879108262,16.1518872153449
N-L11,RPO,WRK,1000.0,479.93053684885297,47.9930536848853,63.0744560306183
S-L67,TKB,TWZ,1000.0,468.0988089234658,46.809880892346584,19.2394064857811
N-L9,BPE,RPO,1000.0,433.08094867879754,43.30809486787975,126.489841230213
S-L31,OHB,OHC,1000.0,431.4937580313895,43.14937580313895,7.18601761558355
N-L30,TWH,HLY,1000.0,423.7125659998491,42.37125659998491,21.8774098275929
N-L38,WKM,MTI,1000.0,413.9586,41.39586,8.85037188209003
N-L127,PEN,ROS,600.0,246.56226624337862,41.0937110405631,8.12772396404804
N-L49,HOB,WRD,1000.0,410.2010963894023,41.020109638940234,7.64567336415667
N-L80,WGN,WVY,600.0,244.89597089231756,40.815995148719594,46.0855776236271
N-L98,ARI,LFD,600.0,244.73212016151206,40.78868669358534,17.3504000481219
S-L34,CML,TWZ,1000.0,405.02131886369165,40.50213188636916,112.713648005474
