line_id,bus0,bus1,s_nom_MVA,max_flow_MW,loading_pct,length_km
N-L47,PAK,PEN,1000.0,1000.0,100.0,8.36174805620878
N-L22,THI,WKM,1000.0,1000.0,100.0,30.5109290049641
N-L82,HWA,SFD,600.0,600.0,100.0,25.8509223767939
N-L28,SFD,TMN,1000.0,969.5956369392198,96.95956369392198,99.9400447116017
N-L122,BOB,WIR,600.0,580.4826086991435,96.74710144985725,24.5729869367741
N-L27,WKM,PAK,2000.0,1873.5417751720076,93.67708875860038,223.0
N-L20,WRK,THI,1000.0,862.25,86.225,5.48494563258555
S-L2,NMA,INV,1000.0,841.4412408379544,84.14412408379545,10.0327049693854
S-L68,TKB,NWD,1000.0,837.3456068395383,83.73456068395383,170.000100001007
N-L124,OTA,MNG,600.0,501.60246905182703,83.60041150863783,3.22838590588632
S-L69,NWD,ISL,1000.0,826.8180806781088,82.68180806781088,25.00000000001
S-L1,MAN,NMA,1000.0,801.9198,80.19198,120.899391533664
N-L60,HAY,UHT,600.0,479.0251486318125,79.83752477196875,10.9561764518734
N-L123,WIR,OTA,600.0,472.4665558094331,78.74442596823886,4.16992021424707
N-L64,UHT,GYT,600.0,462.78452893988396,77.13075482331399,28.8134881203869
N-L65,GYT,MST,600.0,454.46755922947114,75.74459320491187,21.427315821579
N-L44,OTA,PAK,1000.0,731.9349946304366,73.19349946304365,5.05410431543607
N-L66,MST,MGM,600.0,431.2567164937965,71.87611941563274,52.4913951062749
N-L68,MGM,WDV,600.0,426.3924965554108,71.06541609256847,24.1197683270249
N-L43,BOB,GLN,1000.0,688.0828596179914,68.80828596179914,23.7711198976506
S-L39,ISL,SBK,300.0,202.97165109447897,67.65721703149299,24.2915255289392
N-L121,HLY,BOB,600.0,401.8670080829015,66.97783468048358,41.4691687713726
N-L12,WRK,TAB,1000.0,663.6204765412346,66.36204765412346,6.15559453370958
N-L57,TKR,HAY,600.0,396.0493519408502,66.00822532347503,9.27010964216003
N-L29,TMN,TWH,1000.0,655.1694446276697,65.51694446276697,128.851898273214
S-L3,INV,TWI,1000.0,654.4342415773258,65.44342415773258,21.9249107102529
N-L80,WGN,WVY,600.0,368.55656158227106,61.426093597045174,46.0855776236271
S-L30,OHC,BEN,1000.0,613.3703713796269,61.33703713796269,24.7144849643233
N-L125,MNG,ROS,600.0,366.4398867720982,61.07331446201637,10.5657519923792
N-L17,TKU,WKM,1000.0,596.9259919394059,59.69259919394059,62.6172933890702
N-L61,HAY,PRM,1000.0,590.7096481207554,59.070964812075545,25.1078760062729
N-L30,TWH,HLY,1000.0,580.9965495937819,58.099654959378185,21.8774098275929
N-L128,ROS,HEP,600.0,343.79931734005277,57.29988622334212,6.598760457343
N-L79,MTN,WGN,600.0,334.5916604362451,55.76527673937418,27.5379507329514
S-L33,OHA,TWZ,1000.0,549.285624311883,54.9285624311883,5.83384010644619
N-L95,TMN,ONG,600.0,326.42656561916874,54.40442760319479,20.3157199790288
N-L48,PEN,HOB,1000.0,540.9938615403573,54.099386154035734,7.91946208546861
N-L69,WDV,BPE,600.0,324.2018840286229,54.03364733810382,18.6868208775837
N-L96,ONG,HTI,600.0,319.3069806530566,53.21783010884277,54.9716712775975
N-L71,BPE,MTN,600.0,318.6223815699481,53.10373026165802,30.9133345230392
N-L11,RPO,WRK,1000.0,517.8595894833225,51.785958948332244,63.0744560306183
N-L98,ARI,LFD,600.0,306.755915755058,51.12598595917633,17.3504000481219
N-L126,OTA,PEN,600.0,300.75882244985746,50.12647040830957,6.91947044006439
N-L97,HTI,ARI,600.0,291.4335565741903,48.57225942903171,45.2790226676566
S-L67,TKB,TWZ,1000.0,485.16550989833786,48.51655098983378,19.2394064857811
N-L7,BRK,SFD,1000.0,485.0519182782768,48.50519182782767,86.3730324501648
N-L9,BPE,RPO,1000.0,477.84743081419117,47.784743081419116,126.489841230213
S-L16,CML,CYD,1000.0,452.4375480392471,45.24375480392471,16.1518872153449
N-L73,BPE,MTR,600.0,270.85846265517455,45.14307710919576,69.4414496466749
N-L6,BPE,BRK,1000.0,450.9451233060032,45.094512330600324,67.8691980370583
N-L49,HOB,WRD,1000.0,448.59110826863827,44.85911082686383,7.64567336415667
N-L91,MTR,TNG,600.0,266.5419030987975,44.42365051646625,24.1067305826562
