line_id,bus0,bus1,s_nom_MVA,max_flow_MW,loading_pct
N-L28,SFD,TMN,1000.0,1000.0,100.0
N-L20,WRK,THI,1000.0,1000.0,100.0
N-L82,HWA,SFD,1000.0,1000.0,100.0
N-L27,WKM,PAK,2000.0,2000.0,100.0
N-L122,BOB,WIR,600.0,600.0,100.0
S-L68,TKB,NWD,1000.0,974.8856576863078,97.48856576863079
S-L69,NWD,ISL,1000.0,963.2289390171766,96.32289390171765
N-L124,OTA,MNG,600.0,564.416680972806,94.069446828801
S-L2,NMA,INV,1000.0,839.4592129390019,83.94592129390018
N-L123,WIR,OTA,600.0,498.17667430683923,83.02944571780654
S-L1,MAN,NMA,1000.0,801.9198,80.19198
N-L60,HAY,UHT,600.0,474.6059533967454,79.1009922327909
N-L44,OTA,PAK,1000.0,783.5545929678799,78.35545929678798
N-L64,UHT,GYT,600.0,455.57868241707814,75.92978040284636
N-L22,THI,WKM,1500.0,1137.75,75.85
N-L47,PAK,PEN,1500.0,1135.8459279457331,75.72306186304888
S-L39,ISL,SBK,300.0,226.32997780124884,75.44332593374962
N-L12,WRK,TAB,1000.0,749.5798209450379,74.95798209450379
N-L65,GYT,MST,600.0,445.77424914535953,74.29570819089325
N-L57,TKR,HAY,600.0,440.2849143807764,73.38081906346274
N-L80,WGN,WVY,600.0,440.2462091960199,73.37436819933664
N-L121,HLY,BOB,600.0,439.42843190508063,73.23807198418011
S-L3,INV,TWI,1000.0,724.6294831792976,72.46294831792977
N-L66,MST,MGM,600.0,417.4938203098697,69.58230338497829
N-L43,BOB,GLN,1000.0,693.2472646950092,69.32472646950092
N-L125,MNG,ROS,600.0,414.54970278426623,69.09161713071103
N-L68,MGM,WDV,600.0,412.0135497813267,68.66892496355445
N-L79,MTN,WGN,600.0,406.8719955176465,67.81199925294108
N-L29,TMN,TWH,1000.0,676.6112790732254,67.66112790732254
N-L126,OTA,PEN,600.0,400.6321716073963,66.77202860123272
S-L33,OHA,TWZ,1000.0,661.0205189397055,66.10205189397055
N-L71,BPE,MTN,600.0,389.76867573945793,64.96144595657633
N-L128,ROS,HEP,600.0,383.18736871560105,63.86456145260018
N-L95,TMN,ONG,600.0,378.53048908810797,63.08841484801799
N-L96,ONG,HTI,600.0,374.77079075169394,62.46179845861566
N-L30,TWH,HLY,1000.0,623.3653510124234,62.33653510124234
N-L17,TKU,WKM,1000.0,622.4386498085526,62.24386498085526
N-L7,BRK,SFD,1000.0,616.5820101006794,61.65820101006795
N-L98,ARI,LFD,600.0,363.39152552021096,60.565254253368494
N-L48,PEN,HOB,1000.0,599.0213796672828,59.902137966728276
N-L6,BPE,BRK,1000.0,580.8207738714742,58.08207738714742
N-L97,HTI,ARI,600.0,348.26546875539077,58.044244792565124
N-L61,HAY,PRM,1000.0,577.3281762593164,57.73281762593163
S-L30,OHC,BEN,1000.0,547.3771119322009,54.73771119322009
N-L11,RPO,WRK,1000.0,539.7815660607193,53.978156606071934
N-L69,WDV,BPE,600.0,313.00821174171784,52.168035290286305
N-L9,BPE,RPO,1000.0,508.48275497014635,50.84827549701464
S-L67,TKB,TWZ,1000.0,499.0837218354329,49.90837218354329
N-L49,HOB,WRD,1000.0,496.7074188539741,49.67074188539741
N-L37,WKM,HAM,1000.0,489.85786802254006,48.985786802254005
N-L50,WRD,ALB,1000.0,481.49773012939,48.149773012939
N-L100,LFD,TRK,600.0,286.61224542156646,47.76870757026108
N-L127,PEN,ROS,600.0,282.78683506826803,47.13113917804467
N-L73,BPE,MTR,600.0,267.53537994780174,44.589229991300286
N-L130,WEL,HEN,600.0,266.1725443905948,44.3620907317658
N-L40,HLY,BOB,1000.0,439.42843190508063,43.942843190508064
N-L91,MTR,TNG,600.0,263.0424853082454,43.8404142180409
N-L107,TMI,EDG,600.0,259.6668355699124,43.27780592831873
N-L81,WVY,HWA,600.0,256.1042334562824,42.6840389093804
S-L16,CML,CYD,1000.0,423.1719031638054,42.31719031638054
N-L41,BOB,TAK,1000.0,415.2040095932852,41.52040095932852
N-L38,WKM,MTI,1000.0,413.9586,41.39586
S-L40,SBK,ASY,300.0,120.81335816231343,40.27111938743781
N-L10,TNG,TKU,1000.0,402.2998456266914,40.22998456266914
N-L46,OTA,PEN,1000.0,400.6321716073963,40.063217160739626
S-L32,OHA,OHB,1000.0,397.04691893970556,39.704691893970555
N-L32,MAT,EDG,1000.0,381.45842257037253,38.14584225703725
N-L13,HRP,WHI,1000.0,367.86280372861967,36.78628037286197
N-L14,HRP,TAB,1000.0,365.11613957049093,36.51161395704909
N-L132,MTO,MPE,600.0,216.7817741219963,36.13029568699939
N-L31,OHK,MAT,1000.0,358.8139033569479,35.88139033569479
N-L54,WWD,CPK,600.0,211.91026987061,35.318378311768335
N-L131,WEL,MTO,600.0,211.8912105643471,35.31520176072451
N-L15,RDF,WHI,1000.0,350.4169840510824,35.04169840510824
N-L55,WWD,WIL,600.0,209.09450987060998,34.849084978434995
N-L104,TMI,KMO,600.0,208.35697712244163,34.72616285374027
S-L41,ASY,WPR,300.0,104.01048348578847,34.67016116192949
